Title,Subject,Audience,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Total Orders","Total Gross Sales","Total Revenue","Analytics ROI","Campaign Cost","Revenue Created",Visits,"New Visits",Pages/Visit,"Bounce Rate","Time on Site","Goal Conversion Rate","Per Visit Goal Value",Transactions,"Ecommerce Conversion Rate","Per Visit Value","Average Value"
"value 2025-04 HE","יינות חדשים עם תמורה מיוחדת למחיר","JLM Wines","Apr 22, 2025 09:15 pm",Tuesday,215,213,2,0,2,0,0,116,54.46%,178,46,21.60%,68,0,0,0,0,c27f7d0ec4,2,215.93,175.97,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2025-05 EN","More special value wines!","JLM Wines","May 06, 2025 08:30 pm",Tuesday,333,331,1,1,2,0,0,164,49.55%,273,56,16.92%,109,2,0,0,0,2b7bb8d50c,3,756.28,640.91,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2025-05 HE","עוד יינות עם מתורה נהדרת למחיר!","JLM Wines","May 06, 2025 09:15 pm",Tuesday,216,213,1,2,3,0,0,108,50.70%,175,37,17.37%,77,1,0,0,0,d9254e53dd,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"article 2025-05 EN","What makes a wine ""good""?","JLM Wines","May 13, 2025 08:45 pm",Tuesday,331,328,3,0,3,0,0,164,50.00%,263,44,13.41%,66,0,0,0,0,843484fcf3,2,572.05,484.79,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"article 2025-05 HE","מה הופך יין ל""טוב""?","JLM Wines","May 13, 2025 09:15 pm",Tuesday,213,212,0,1,1,0,0,122,57.55%,188,32,15.09%,51,2,0,0,0,c6489fcbff,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"seasonal 2025-05 EN","Shavuot Season Wines","JLM Wines","May 20, 2025 08:45 pm",Tuesday,331,329,2,0,2,0,0,159,48.33%,280,41,12.46%,61,0,0,0,0,2632bc8339,3,489.35,414.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"seasonal 2025-05 HE","יינות עונתיים  - שבועות","JLM Wines","May 20, 2025 09:15 pm",Tuesday,212,212,0,0,0,0,0,111,52.36%,174,23,10.85%,35,1,0,0,0,8d688b4fbf,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2025-08 HE","היינו שקטים... אבל עסוקים","JLM Wines","Aug 19, 2025 10:30 am",Tuesday,232,231,1,0,1,0,0,112,48.48%,202,28,12.12%,70,1,0,0,0,9bb7000c0d,1,243.7,206.52,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2025-08 EN","We’ve been quiet… but we’ve been busy","JLM Wines","Aug 19, 2025 11:00 am",Tuesday,340,336,3,1,4,0,0,164,48.81%,313,52,15.48%,106,0,0,0,0,9c0917b07c,5,906.23,757.96,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"explore 2025-09 EN","Is higher-priced wine really better wine?","JLM Wines","Sep 02, 2025 08:45 pm",Tuesday,343,340,3,0,3,0,0,167,49.12%,372,60,17.65%,103,2,0,0,0,1e31410344,4,636.5,532.93,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"explore 2025-09 HE","האם יין יותר יקר באמת יין יותר טוב?","JLM Wines","Sep 02, 2025 09:15 pm",Tuesday,231,230,1,0,1,0,0,139,60.43%,264,49,21.30%,85,1,0,0,0,ab4c6b7d65,2,434.3,366.41,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Rosh Hashana Gift EN","Rosh Hashana Gift Delivery","JLM Wines","Sep 09, 2025 04:15 pm",Tuesday,83,83,0,0,0,0,0,42,50.60%,88,7,8.43%,24,0,0,0,0,9cd3313ee7,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"oops 2025-09 EN","oops - sorry!","JLM Wines","Sep 09, 2025 08:45 pm",Tuesday,263,260,3,0,3,0,0,148,56.92%,272,26,10.00%,42,2,0,0,0,82e3ac733c,2,480.13,406.89,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"oops 2025-09 HE","סליחה, טעות שלנו","JLM Wines","Sep 09, 2025 09:15 pm",Tuesday,230,228,2,0,2,0,0,164,71.93%,338,39,17.11%,59,0,0,0,0,ae453b8c55,3,536.51,442.89,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"seasonal 2025-10 EN","Interesting reds for the season","JLM Wines","Oct 21, 2025 08:45 pm",Tuesday,343,341,1,1,2,0,0,175,51.32%,360,60,17.60%,117,2,0,0,0,f55103248a,11,2347.02,1987.33,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"seasonal 2025-10 HE","אדומים מעניינים לעונה","JLM Wines","Oct 21, 2025 09:15 pm",Tuesday,236,235,1,0,1,0,0,135,57.45%,259,52,22.13%,95,0,0,0,0,fc7a1e215e,2,266.24,225.63,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2025-11 EN","Your coupon code 40NV","JLM Wines","Nov 18, 2025 08:45 pm",Tuesday,343,342,0,1,1,0,0,185,54.09%,367,36,10.53%,70,3,0,0,0,7447a5d983,8,1659.3,1406.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"value 2025-11 HE","קוד הקופון שלך","JLM Wines","Nov 18, 2025 09:15 pm",Tuesday,240,236,3,1,4,0,0,159,67.37%,327,35,14.83%,76,2,0,0,0,4361ac1025,6,885.25,750.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
